iter	Passed	Remaining
0	139	139012
1	140	70108
2	141	47099
3	142	35565
4	144	28679
5	145	24046
6	146	20810
7	148	18420
8	150	16526
9	151	14971
10	152	13691
11	153	12629
12	154	11726
13	155	10961
14	156	10302
15	157	9715
16	159	9201
17	160	8741
18	161	8334
19	162	7979
20	164	7647
21	165	7342
22	166	7068
23	167	6824
24	169	6598
25	170	6382
26	171	6186
27	172	5998
28	174	5829
29	175	5667
30	177	5542
31	178	5399
32	179	5265
33	180	5141
34	182	5022
35	183	4909
36	184	4802
37	186	4710
38	187	4621
39	188	4532
40	190	4444
41	191	4363
42	193	4297
43	194	4222
44	195	4151
45	196	4082
46	198	4015
47	199	3950
48	200	3888
49	201	3833
50	202	3776
51	205	3748
52	207	3705
53	208	3655
54	209	3603
55	210	3556
56	212	3510
57	213	3465
58	214	3422
59	215	3380
60	216	3339
61	218	3298
62	221	3289
63	222	3255
64	223	3219
65	224	3182
66	226	3147
67	227	3112
68	228	3079
69	229	3046
70	230	3014
71	231	2983
72	232	2954
73	233	2925
74	236	2915
75	237	2888
76	238	2861
77	239	2834
78	240	2807
79	241	2782
80	243	2757
81	244	2732
82	244	2703
83	245	2681
84	247	2659
85	248	2638
86	251	2640
87	253	2622
88	254	2603
89	255	2584
90	256	2564
91	257	2545
92	259	2526
93	260	2507
94	261	2488
95	262	2471
96	266	2476
97	267	2459
98	268	2442
99	269	2426
100	270	2409
101	271	2393
102	273	2377
103	274	2361
104	275	2347
105	276	2332
106	277	2317
107	280	2316
108	281	2303
109	282	2289
110	284	2275
111	285	2261
112	286	2248
113	287	2236
114	288	2223
115	290	2211
116	291	2196
117	292	2189
118	295	2186
119	296	2174
120	297	2163
121	298	2150
122	300	2139
123	301	2127
124	302	2116
125	303	2104
126	304	2092
127	305	2081
128	306	2071
129	309	2072
130	311	2063
131	312	2055
132	313	2046
133	315	2036
134	316	2027
135	317	2017
136	318	2007
137	319	1998
138	321	1989
139	324	1992
140	325	1986
141	326	1974
142	327	1965
143	329	1956
144	330	1947
145	331	1938
146	332	1928
147	333	1919
148	334	1911
149	335	1903
150	337	1898
151	339	1896
152	341	1889
153	342	1882
154	343	1874
155	345	1866
156	346	1858
157	347	1850
158	348	1842
159	349	1835
160	350	1826
161	352	1820
162	354	1822
163	356	1815
164	357	1807
165	358	1799
166	359	1792
167	360	1785
168	361	1778
169	362	1771
170	363	1764
171	365	1757
172	367	1757
173	369	1753
174	370	1747
175	371	1740
176	372	1733
177	374	1727
178	375	1720
179	376	1714
180	377	1708
181	378	1701
182	379	1695
183	382	1698
184	384	1692
185	385	1686
186	386	1680
187	387	1674
188	388	1668
189	390	1662
190	391	1656
191	392	1651
192	393	1645
193	394	1639
194	398	1643
195	399	1637
196	400	1631
197	401	1625
198	402	1619
199	403	1613
200	404	1608
201	405	1602
202	406	1597
203	407	1591
204	409	1586
205	410	1582
206	413	1583
207	414	1578
208	415	1573
209	416	1567
210	417	1562
211	418	1557
212	420	1552
213	421	1547
214	422	1542
215	423	1538
216	425	1534
217	428	1535
218	429	1530
219	430	1526
220	431	1521
221	432	1516
222	433	1511
223	435	1507
224	436	1502
225	437	1497
226	438	1493
227	439	1488
228	443	1491
229	444	1487
230	445	1483
231	446	1478
232	447	1474
233	449	1470
234	450	1465
235	451	1461
236	452	1456
237	453	1452
238	455	1449
239	457	1449
240	459	1445
241	460	1441
242	461	1437
243	462	1433
244	463	1429
245	465	1425
246	466	1421
247	467	1417
248	468	1413
249	471	1413
250	472	1410
251	473	1406
252	475	1402
253	476	1399
254	477	1395
255	478	1391
256	479	1387
257	481	1383
258	482	1379
259	483	1375
260	486	1378
261	488	1374
262	489	1371
263	490	1367
264	491	1364
265	493	1360
266	494	1356
267	495	1352
268	496	1349
269	497	1345
270	499	1342
271	502	1343
272	503	1340
273	504	1337
274	505	1333
275	507	1330
276	508	1326
277	509	1323
278	510	1320
279	512	1317
280	513	1314
281	516	1315
282	518	1312
283	519	1309
284	521	1308
285	522	1305
286	524	1302
287	525	1299
288	526	1296
289	530	1297
290	531	1295
291	532	1291
292	534	1289
293	536	1288
294	538	1286
295	539	1283
296	540	1279
297	542	1277
298	545	1279
299	546	1276
300	548	1273
301	549	1269
302	550	1266
303	551	1263
304	552	1259
305	554	1256
306	555	1253
307	556	1250
308	600	1341
309	602	1340
310	604	1338
311	605	1335
312	610	1339
313	613	1339
314	615	1337
315	620	1343
316	626	1349
317	628	1347
318	629	1344
319	632	1344
320	634	1341
321	636	1340
322	650	1362
323	651	1359
324	653	1357
325	665	1375
326	666	1371
327	667	1368
328	668	1364
329	671	1362
330	672	1359
331	673	1355
332	675	1352
333	676	1348
334	680	1349
335	681	1346
336	682	1342
337	683	1339
338	687	1340
339	689	1338
340	691	1335
341	693	1333
342	694	1330
343	696	1328
344	697	1325
345	699	1322
346	701	1320
347	702	1316
348	703	1313
349	705	1310
350	706	1306
351	707	1303
352	709	1299
353	710	1296
354	711	1293
355	712	1289
356	714	1287
357	716	1284
358	717	1281
359	719	1278
360	720	1275
361	721	1271
362	723	1268
363	724	1266
364	725	1262
365	727	1259
366	728	1256
367	730	1254
368	731	1251
369	733	1248
370	734	1245
371	735	1242
372	737	1239
373	738	1235
374	739	1232
375	740	1229
376	742	1226
377	743	1223
378	745	1221
379	746	1218
380	747	1215
381	749	1211
382	750	1209
383	751	1206
384	753	1203
385	754	1200
386	755	1196
387	756	1193
388	759	1192
389	760	1189
390	761	1186
391	763	1183
392	764	1180
393	765	1177
394	767	1174
395	768	1171
396	769	1168
397	770	1165
398	772	1162
399	774	1161
400	775	1158
401	777	1156
402	778	1153
403	780	1151
404	781	1148
405	782	1145
406	784	1142
407	785	1139
408	786	1136
409	788	1135
410	790	1132
411	791	1130
412	793	1127
413	794	1124
414	795	1121
415	797	1118
416	798	1116
417	799	1113
418	800	1110
419	802	1108
420	804	1105
421	805	1103
422	806	1100
423	807	1097
424	809	1094
425	810	1092
426	811	1089
427	812	1086
428	814	1083
429	815	1081
430	818	1079
431	819	1077
432	820	1074
433	821	1071
434	823	1069
435	824	1066
436	825	1063
437	826	1060
438	828	1058
439	829	1055
440	830	1052
441	832	1051
442	833	1048
443	835	1045
444	836	1043
445	837	1040
446	839	1038
447	840	1035
448	841	1032
449	842	1029
450	843	1027
451	844	1024
452	846	1022
453	848	1020
454	849	1017
455	850	1014
456	851	1011
457	853	1009
458	854	1006
459	855	1004
460	856	1001
461	858	999
462	859	996
463	860	994
464	862	992
465	864	990
466	865	987
467	866	985
468	867	982
469	869	980
470	870	977
471	871	974
472	872	972
473	873	969
474	875	967
475	877	965
476	878	963
477	879	960
478	880	958
479	882	955
480	883	953
481	884	950
482	886	948
483	887	946
484	888	943
485	890	941
486	892	939
487	893	937
488	894	934
489	895	932
490	897	930
491	898	927
492	899	925
493	900	922
494	902	920
495	903	917
496	904	915
497	906	914
498	908	911
499	909	909
500	910	906
501	911	904
502	913	902
503	914	899
504	915	897
505	917	895
506	918	893
507	919	890
508	921	888
509	923	886
510	924	884
511	926	882
512	927	880
513	929	878
514	930	876
515	931	874
516	933	871
517	935	870
518	937	868
519	938	866
520	939	864
521	941	861
522	942	859
523	944	857
524	945	855
525	946	853
526	947	850
527	949	848
528	951	846
529	952	844
530	953	842
531	954	839
532	956	837
533	957	835
534	958	833
535	959	830
536	961	828
537	962	826
538	963	824
539	965	822
540	967	820
541	968	818
542	969	816
543	971	814
544	972	811
545	973	809
546	975	807
547	976	805
548	977	803
549	980	802
550	981	800
551	983	798
552	984	795
553	985	793
554	986	791
555	988	789
556	989	786
557	990	784
558	991	782
559	993	780
560	995	778
561	996	776
562	997	774
563	998	772
564	1000	770
565	1001	767
566	1002	765
567	1003	763
568	1004	761
569	1006	759
570	1007	756
571	1009	755
572	1010	753
573	1012	751
574	1013	748
575	1014	746
576	1015	744
577	1017	742
578	1018	740
579	1019	738
580	1020	736
581	1022	734
582	1024	732
583	1026	731
584	1029	730
585	1034	730
586	1036	729
587	1045	732
588	1047	730
589	1049	729
590	1051	727
591	1053	725
592	1056	725
593	1058	723
594	1060	721
595	1062	720
596	1064	718
597	1065	716
598	1066	714
599	1068	712
600	1071	711
601	1073	710
602	1075	708
603	1077	706
604	1079	705
605	1082	703
606	1084	701
607	1086	700
608	1088	698
609	1090	697
610	1092	695
611	1095	694
612	1098	693
613	1100	692
614	1102	690
615	1104	688
616	1106	687
617	1108	685
618	1113	685
619	1117	685
620	1120	683
621	1122	682
622	1127	682
623	1131	681
624	1132	679
625	1134	677
626	1135	675
627	1137	673
628	1139	671
629	1146	673
630	1148	671
631	1149	669
632	1151	667
633	1153	665
634	1155	663
635	1157	662
636	1159	660
637	1161	658
638	1163	657
639	1164	655
640	1166	653
641	1168	651
642	1170	649
643	1171	647
644	1175	646
645	1177	645
646	1179	643
647	1181	641
648	1182	639
649	1184	637
650	1186	636
651	1188	634
652	1191	633
653	1193	631
654	1194	629
655	1196	627
656	1197	625
657	1199	623
658	1200	621
659	1202	619
660	1204	617
661	1205	615
662	1207	613
663	1208	611
664	1209	609
665	1210	607
666	1212	605
667	1213	603
668	1214	600
669	1216	598
670	1218	597
671	1220	595
672	1221	593
673	1223	591
674	1224	589
675	1225	587
676	1227	585
677	1228	583
678	1230	581
679	1232	579
680	1237	579
681	1238	577
682	1240	575
683	1241	573
684	1243	571
685	1244	569
686	1246	568
687	1250	567
688	1252	565
689	1253	563
690	1254	561
691	1256	559
692	1257	557
693	1258	555
694	1260	553
695	1261	550
696	1264	549
697	1266	547
698	1267	545
699	1268	543
700	1270	541
701	1271	539
702	1273	538
703	1275	536
704	1276	534
705	1279	532
706	1280	530
707	1282	528
708	1283	526
709	1285	525
710	1287	523
711	1288	521
712	1289	519
713	1291	517
714	1293	515
715	1295	513
716	1296	511
717	1297	509
718	1299	507
719	1300	505
720	1302	503
721	1303	501
722	1304	499
723	1305	497
724	1307	495
725	1309	494
726	1310	492
727	1311	490
728	1313	488
729	1314	486
730	1315	484
731	1316	482
